Title, Herring spawn biomass, coho F, Res. Orca N, CohoZ (Beamish), coho Juv. Z (PSARC), Coho Juv. Z,Herring discard mort (Longline),Herring Gill/Seine discard prop
Weight,1,1,1,1,1,1,1,1
Pool code,17,9,2,10,10,10,1,3
Pool code sec,0,0,0,0,0,0,17,17
Type,0,4,0,5,5,5,11,10
1950,0,1,0,0,0,0,1,1
1951,10.095,1,0,0,0,0,1,1
1952,11.8767,1,0,0,0,0,1,1
1953,22.3447,1.0007,0,0,0,0,1,1
1954,15.102,1.1055,0,0,0,0,1,1
1955,30.2085,1.0803,0,0,0,0,1,1
1956,11.4115,0.9307,0,0,0,0,1,1
1957,6.6769,0.9727,0,0,0,0,1,1
1958,4.8758,1.1425,0,0,0,0,1,1
1959,11.8712,1.2039,0,0,0,0,1,1
1960,12.9712,1.5915,86,0,0,0,1,1
1961,7.9334,0.9342,86,0,0,0,1,1
1962,8.8035,1.0244,90,0,0,0,1,1
1963,5.0886,0.8705,90,0,0,0,1,1
1964,4.6968,0.7909,92,0,0,0,1,1
1965,8.3073,0.8805,94,0,0,0,1,1
1966,1.634,1.0318,97,0,0,0,1,1
1967,1.8208,1.0467,98,0,0,0,1,1
1968,2.6971,1.0345,91,0,0,0,1,1
1969,5.8839,0.8891,94,0,0,0,1,1
1970,11.4423,1.081,84,0,0,0,1,1
1971,10.4779,0.9224,76,0,0,0,1,1
1972,9.6451,1.23,71,1.4494,0,0,1,1
1973,8.5611,1.1391,73,1.3086,0,0,1,1
1974,20.8511,1.1364,72,1.8708,0,2.3026,1,1
1975,26.227,1.0732,72,2.0859,0,2.5257,1,1
1976,19.8925,1.3352,73,1.5096,0,2.6593,1,1
1977,28.1188,1.1914,79,1.6508,0,2.5257,1,0.857142857
1978,23.5638,1.8225,81,2.2247,0,2.4079,1,0.857142857
1979,19.5593,1.5652,80,2.6451,0,2.6593,1,0.857142857
1980,22.7682,1.0161,84,2.7166,0,2.8134,1,0.857142857
1981,20.8915,0.9922,82,2.7662,0,2.6593,1,0.857142857
1982,17.418,1.0644,79,2.6679,0,2.6593,1,0.857142857
1983,9.5113,0.8024,77,2.6927,0,2.5257,1,0.857142857
1984,8.238,0.736,75,3.0967,0,2.8134,0.75,0.857142857
1985,11.611,1.2593,76,2.9188,0,2.6593,0.75,0.857142857
1986,21.0479,1.1097,87,2.7536,0,2.5257,0.75,0.857142857
1987,16.89,1.4532,85,2.6927,2.1203,2.6593,0.75,0.857142857
1988,24.1007,1.6423,85,2.9488,1.8326,2.5257,0.75,0.857142857
1989,23.594,0.8932,86,3.3159,2.1203,2.8134,0.75,0.857142857
1990,32.7883,1.2228,85,3.5405,2.3026,2.9957,0.75,0.714285714
1991,23.9833,0.4499,91,0,2.6593,3.2189,0.75,0.714285714
1992,29.0218,1.5421,92,0,2.5257,3.5066,0.75,0.714285714
1993,33.9614,2.0317,97,0,2.8134,3.6889,0.75,0.714285714
1994,25.5373,1.1938,95,0,2.9004,3.6889,0.75,0.714285714
1995,20.7901,0.2972,97,0,3.0576,3.5066,0.75,0.071428571
1996,23.2379,0.6928,98,0,3.2189,3.6,0.5,0.071428571
1997,20.4817,0.456,92,0,3.5066,0,0.5,0.071428571
1998,19.4899,0.0513,90,0,3.912,0,0.5,0.071428571
1999,0,0.03,85,0,0,0,0.5,0.071428571
