TimeStep,Whales,Seals,Cod,Whiting,Mackerel,Anchovy,Shrimp,Benthos,Zooplankton,Phytoplankton,Detritus
1,0.09017894,0.05554384,3.472648,2.012143,0.7480099,6.559079,0.8399494,28.42344,8.786991,16.19776,7.196029
2,0.09029854,0.05552986,3.477798,2.01766,0.743471,6.308892,0.8463829,27.17304,15.10944,17.8945,10.89792
3,0.09043258,0.05550846,3.48417,2.023757,0.7465804,6.251495,0.8515145,27.45595,24.06547,5.720732,14.84665
4,0.09056137,0.0554685,3.488386,2.028442,0.7589614,6.54041,0.8506596,29.12939,17.76792,1.492663,11.51161
5,0.09067805,0.05541817,3.48994,2.031903,0.7662938,6.728928,0.8454355,29.87364,8.091065,2.498282,6.946732
6,0.09078766,0.05537127,3.490703,2.035137,0.7628595,6.597406,0.8404216,28.73821,3.975621,6.014744,4.435816
7,0.09091425,0.05535143,3.495903,2.041183,0.7544321,6.220515,0.8445551,26.10556,4.263313,14.68367,4.418201
8,0.09107269,0.05536781,3.511839,2.050266,0.7477987,5.751154,0.8635015,23.1274,9.24401,25.66922,7.891496
9,0.09122979,0.0553556,3.527766,2.056168,0.746066,5.458358,0.8752865,22.17852,18.73088,21.77439,14.20589
10,0.09137101,0.05529356,3.536523,2.057249,0.7532652,5.550797,0.8694704,24.03153,14.59899,13.32934,14.13008
11,0.09149602,0.05520215,3.538788,2.055796,0.7573022,5.62181,0.852907,26.06898,10.39041,4.479543,10.78392
12,0.09161255,0.05511831,3.538845,2.053975,0.7558585,5.546338,0.8363531,26.56268,6.709015,3.994473,6.413927
13,0.09174451,0.05507518,3.542265,2.054557,0.7510271,5.277744,0.8303526,24.98724,4.520114,12.49162,4.424372
14,0.09188094,0.05507372,3.552822,2.055395,0.7428776,4.898377,0.8395757,22.29355,5.049174,25.1436,6.112472
15,0.09200995,0.05504936,3.561871,2.053007,0.7339541,4.542776,0.8433929,20.80982,11.80721,31.74733,11.58676
16,0.09212855,0.05498884,3.565963,2.0467,0.7315785,4.431785,0.8355574,21.91375,17.71926,15.41269,16.43558
17,0.09223577,0.05491086,3.565366,2.037984,0.7363711,4.565575,0.8203412,24.5222,21.13671,5.393573,14.62883
18,0.09233263,0.05483726,3.562002,2.028997,0.7457075,4.846205,0.8045951,26.66489,15.08998,2.504117,10.24801
19,0.0924243,0.05477877,3.557603,2.021381,0.7491435,4.97484,0.7930087,27.01951,8.212785,2.655738,6.581893
20,0.09251823,0.05474447,3.55564,2.015503,0.7438982,4.854456,0.7901521,25.42063,4.534989,8.534354,4.387771
21,0.09261703,0.05472124,3.55679,2.010237,0.7327477,4.560823,0.7935078,22.79924,4.14349,23.95421,4.902857
22,0.09272038,0.05469297,3.559944,2.003988,0.7202906,4.223323,0.7974964,20.8551,9.200868,32.53829,10.2361
23,0.0928201,0.05463615,3.561053,1.994794,0.7131258,4.038525,0.7941429,21.33375,20.0325,19.92331,16.83816
24,0.09291008,0.05455443,3.557959,1.982951,0.718807,4.198595,0.7833003,24.17397,24.63177,5.777191,16.81785
25,0.0929879,0.0544718,3.551189,1.970553,0.7312794,4.557698,0.7712765,27.10439,16.801,2.310963,11.5336
26,0.09305553,0.05440341,3.543011,1.959492,0.7356081,4.749322,0.7628432,28.05057,8.43675,2.774999,7.020505
27,0.0931206,0.05436105,3.536253,1.950266,0.7285338,4.666861,0.7613258,26.76119,4.509914,6.227092,4.571033
28,0.09319938,0.0543494,3.535202,1.943549,0.7156659,4.386036,0.7705163,23.95813,4.800424,17.16515,4.595008
29,0.0932887,0.05434839,3.539443,1.93694,0.7026488,4.067502,0.7847968,21.30177,9.293849,33.03575,8.477066
30,0.09337377,0.05431326,3.541848,1.92713,0.6948179,3.892074,0.789833,21.05991,19.8842,17.86349,16.48985
31,0.09344614,0.05424217,3.538848,1.914022,0.6995289,4.048992,0.7832003,23.53268,22.65038,7.28505,15.7365
32,0.09350467,0.05416333,3.531766,1.900274,0.709269,4.358522,0.7724774,26.13069,16.69631,2.984591,11.53544
